school,course,status,credits,notes
University of New Mexico,Developmental Psychology,accepted,,
University of New Mexico,Cultural Competency,not required,,
University of North Carolina (Chapel Hill),Anatomy,required,,
University of North Carolina (Chapel Hill),Physiology,required,,
University of North Carolina (Chapel Hill),Biology,not required,,
University of North Carolina (Chapel Hill),Microbiology,required,,
University of North Carolina (Chapel Hill),Chemistry,not required,,
University of North Carolina (Chapel Hill),Organic Chemistry,accepted,,
University of North Carolina (Chapel Hill),Biochemistry,accepted,,
University of North Carolina (Chapel Hill),Statistics,required,,
University of North Carolina (Chapel Hill),English,not required,,
University of North Carolina (Chapel Hill),Genetics,not required,,
University of North Carolina (Chapel Hill),Social Science,required,,
University of North Carolina (Chapel Hill),Developmental Psychology,not required,,
University of North Carolina (Chapel Hill),Cultural Competency,not required,,
George Fox University,Anatomy,required,,
George Fox University,Physiology,required,,
George Fox University,Biology,required,,
George Fox University,Microbiology,required,,
George Fox University,Chemistry,required,,
George Fox University,Organic Chemistry,accepted,,
George Fox University,Biochemistry,accepted,,
George Fox University,Statistics,required,,
George Fox University,English,not required,,
George Fox University,Genetics,accepted,,
George Fox University,Social Science,not required,,
George Fox University,Developmental Psychology,accepted,,
George Fox University,Cultural Competency,not required,,
Morehouse School of Medicine,Anatomy,required,,
Morehouse School of Medicine,Physiology,required,,
Morehouse School of Medicine,Biology,required,,
Morehouse School of Medicine,Microbiology,required,,
Morehouse School of Medicine,Chemistry,unspecified,,
Morehouse School of Medicine,Organic Chemistry,required,,
Morehouse School of Medicine,Biochemistry,required,,
Morehouse School of Medicine,Statistics,required,,
Morehouse School of Medicine,English,unspecified,,
Morehouse School of Medicine,Genetics,unspecified,,
Morehouse School of Medicine,Social Science,required,,
Morehouse School of Medicine,Developmental Psychology,unspecified,,
Morehouse School of Medicine,Cultural Competency,unspecified,,
Wayne State University,Anatomy,required,,
Wayne State University,Physiology,required,,
Wayne State University,Biology,not required,,
Wayne State University,Microbiology,required,,
Wayne State University,Chemistry,required,,
Wayne State University,Organic Chemistry,accepted,,
Wayne State University,Biochemistry,accepted,,
Wayne State University,Statistics,required,,
Wayne State University,English,required,,
Wayne State University,Genetics,accepted,,
Wayne State University,Social Science,not required,,
Wayne State University,Developmental Psychology,required,,
Wayne State University,Cultural Competency,unspecified,,
North Central College,Anatomy,required,,
North Central College,Physiology,required,,
North Central College,Biology,not required,,
North Central College,Microbiology,required,,
North Central College,Chemistry,required,,
North Central College,Organic Chemistry,accepted,,
North Central College,Biochemistry,required,,
North Central College,Statistics,required,,
North Central College,English,not required,,
North Central College,Genetics,accepted,,
North Central College,Social Science,required,,
North Central College,Developmental Psychology,accepted,,
North Central College,Cultural Competency,not required,,
Duke University,Anatomy,required,,
Duke University,Physiology,required,,
Duke University,Biology,required,,
Duke University,Microbiology,required,,
Duke University,Chemistry,required,,
Duke University,Organic Chemistry,not required,,
Duke University,Biochemistry,not required,,
Duke University,Statistics,required,,
Duke University,English,not required,,
Duke University,Genetics,accepted,,
Duke University,Social Science,not required,,
Duke University,Developmental Psychology,not required,,
Duke University,Cultural Competency,not required,,
Arcadia University,Anatomy,required,,
Arcadia University,Physiology,required,,
Arcadia University,Biology,required,,
Arcadia University,Microbiology,required,,
Arcadia University,Chemistry,required,,
Arcadia University,Organic Chemistry,required,,
Arcadia University,Biochemistry,unspecified,,
Arcadia University,Statistics,required,,
Arcadia University,English,unspecified,,
Arcadia University,Genetics,unspecified,,
Arcadia University,Social Science,required,,
Arcadia University,Developmental Psychology,unspecified,,
Arcadia University,Cultural Competency,unspecified,,
Kettering College,Anatomy,required,,
Kettering College,Physiology,required,,
Kettering College,Biology,required,,
Kettering College,Microbiology,required,,
Kettering College,Chemistry,unspecified,,
Kettering College,Organic Chemistry,required,,
Kettering College,Biochemistry,required,,
Kettering College,Statistics,required,,
Kettering College,English,unspecified,,
Kettering College,Genetics,unspecified,,
Kettering College,Social Science,required,,
Kettering College,Developmental Psychology,required,,
Kettering College,Cultural Competency,unspecified,,
Rosalind Franklin University,Anatomy,required,,
Rosalind Franklin University,Physiology,required,,
Rosalind Franklin University,Biology,unspecified,,
Rosalind Franklin University,Microbiology,required,,
Rosalind Franklin University,Chemistry,unspecified,,
Rosalind Franklin University,Organic Chemistry,unspecified,,
Rosalind Franklin University,Biochemistry,required,,
Rosalind Franklin University,Statistics,recommended,,
Rosalind Franklin University,English,unspecified,,
Rosalind Franklin University,Genetics,unspecified,,
Rosalind Franklin University,Social Science,required,,
Rosalind Franklin University,Developmental Psychology,recommended,,
Rosalind Franklin University,Cultural Competency,unspecified,,
Kansas State University,Anatomy,required,,
Kansas State University,Physiology,required,,
Kansas State University,Biology,required,,
Kansas State University,Microbiology,required,,
Kansas State University,Chemistry,required,,
Kansas State University,Organic Chemistry,recommended,,
Kansas State University,Biochemistry,recommended,,
Kansas State University,Statistics,recommended,,
Kansas State University,English,unspecified,,
Kansas State University,Genetics,required,,
Kansas State University,Social Science,required,,
Kansas State University,Developmental Psychology,unspecified,,
Kansas State University,Cultural Competency,unspecified,,
Idaho State University,Anatomy,required,,
Idaho State University,Physiology,required,,
Idaho State University,Biology,unspecified,,
Idaho State University,Microbiology,required,,
Idaho State University,Chemistry,unspecified,,
Idaho State University,Organic Chemistry,unspecified,,
Idaho State University,Biochemistry,required,,
Idaho State University,Statistics,required,,
Idaho State University,English,unspecified,,
Idaho State University,Genetics,recommended,,
Idaho State University,Social Science,unspecified,,
Idaho State University,Developmental Psychology,required,,
Idaho State University,Cultural Competency,unspecified,,
Albany Medical College,Anatomy,required,,
Albany Medical College,Physiology,required,,
Albany Medical College,Biology,required,,
Albany Medical College,Microbiology,required,,
Albany Medical College,Chemistry,required,,
Albany Medical College,Organic Chemistry,accepted,,
Albany Medical College,Biochemistry,accepted,,
Albany Medical College,Statistics,required,,
Albany Medical College,English,required,,
Albany Medical College,Genetics,not required,,
Albany Medical College,Social Science,required,,
Albany Medical College,Developmental Psychology,not required,,
Albany Medical College,Cultural Competency,not required,,
Harding University,Anatomy,required,,
Harding University,Physiology,required,,
Harding University,Biology,required,,
Harding University,Microbiology,required,,
Harding University,Chemistry,required,,
Harding University,Organic Chemistry,accepted,,
Harding University,Biochemistry,accepted,,
Harding University,Statistics,accepted,,
Harding University,English,unspecified,,
Harding University,Genetics,accepted,,
Harding University,Social Science,required,,
Harding University,Developmental Psychology,accepted,,
Harding University,Cultural Competency,unspecified,,
Michigan State University,Anatomy,required,,
Michigan State University,Physiology,required,,
Michigan State University,Biology,not required,,
Michigan State University,Microbiology,required,,
Michigan State University,Chemistry,required,,
Michigan State University,Organic Chemistry,accepted,,
Michigan State University,Biochemistry,required,,
Michigan State University,Statistics,required,,
Michigan State University,English,required,,
Michigan State University,Genetics,not required,,
Michigan State University,Social Science,not required,,
Michigan State University,Developmental Psychology,required,,
Michigan State University,Cultural Competency,not required,,
Delaware Valley University,Anatomy,required,,
Delaware Valley University,Physiology,required,,
Delaware Valley University,Biology,required,,
Delaware Valley University,Microbiology,required,,
Delaware Valley University,Chemistry,required,,
Delaware Valley University,Organic Chemistry,required,,
Delaware Valley University,Biochemistry,recommended,,
Delaware Valley University,Statistics,required,,
Delaware Valley University,English,not required,,
Delaware Valley University,Genetics,recommended,,
Delaware Valley University,Social Science,required,,
Delaware Valley University,Developmental Psychology,not required,,
Delaware Valley University,Cultural Competency,not required,,
